Date,Open,High,Low,Close,Adj Close,Volume
2020-09-14,11269.500000,11302.500000,10918.750000,11144.809570,11144.809570,957669
2020-09-21,10920.000000,11222.000000,10656.500000,11136.500000,11136.500000,3350326
2020-09-28,11145.000000,11604.750000,11140.250000,11233.250000,11233.250000,3047573
2020-10-05,11308.500000,11739.000000,11197.500000,11724.750000,11724.750000,2265592
2020-10-12,11722.750000,12249.000000,11687.750000,11798.000000,11798.000000,3231323
2020-10-19,11816.750000,11950.500000,11511.000000,11663.500000,11663.500000,2930668
2020-10-26,11634.000000,11695.500000,10944.500000,11046.250000,11046.250000,3383507
2020-11-02,11034.500000,12119.500000,10942.250000,12075.000000,12075.000000,3085690
2020-11-09,12139.250000,12408.750000,11503.250000,11933.500000,11933.500000,3113074
2020-11-16,11957.250000,12096.250000,11804.500000,11905.750000,11905.750000,2128303
2020-11-23,11894.000000,12307.500000,11808.250000,12257.500000,12257.500000,1510472
2020-11-30,12286.500000,12540.250000,12086.000000,12526.000000,12526.000000,2056172
2020-12-07,12525.000000,12675.000000,12218.250000,12368.000000,12368.000000,2216668
2020-12-14,12405.500000,12823.000000,12386.500000,12800.059570,12800.059570,1218777
2020-12-21,12760.000000,12782.500000,12461.000000,12704.500000,12704.500000,1595328
2020-12-28,12676.250000,12918.250000,12655.250000,12885.500000,12885.500000,1355563
2021-01-04,12889.000000,13125.000000,12491.250000,13097.250000,13097.250000,2833309
2021-01-11,13093.250000,13105.250000,12743.500000,12802.250000,12802.250000,2290131
2021-01-18,12774.250000,13423.500000,12727.000000,13361.500000,13361.500000,1749996
2021-01-25,13370.000000,13599.750000,12829.000000,12911.250000,12911.250000,3315123
2021-02-01,12849.000000,13638.500000,12727.250000,13598.000000,13598.000000,2380276
2021-02-08,13623.750000,13820.750000,13516.750000,13804.750000,13804.750000,2201744
2021-02-15,13829.500000,13900.500000,13468.000000,13576.000000,13576.000000,2297992
2021-02-22,13585.000000,13629.000000,12662.250000,12911.000000,12911.000000,3931585
2021-03-01,12957.500000,13328.250000,12207.250000,12663.750000,12663.750000,3899248
2021-03-08,12715.000000,13119.250000,12281.750000,12933.500000,12933.500000,3161289
2021-03-15,12950.000000,13298.000000,12872.000000,13201.500000,13201.500000,779513
